Entity,Code,Year,Population in Millions
Sudan,SDN,1950,6189916
Sudan,SDN,1951,6376063
Sudan,SDN,1952,6568611
Sudan,SDN,1953,6765905
Sudan,SDN,1954,6969640
Sudan,SDN,1955,7181691
Sudan,SDN,1956,7401595
Sudan,SDN,1957,7629457
Sudan,SDN,1958,7863037
Sudan,SDN,1959,8106484
Sudan,SDN,1960,8364493
Sudan,SDN,1961,8634939
Sudan,SDN,1962,8919032
Sudan,SDN,1963,9218079
Sudan,SDN,1964,9531108
Sudan,SDN,1965,9858033
Sudan,SDN,1966,10197582
Sudan,SDN,1967,10550601
Sudan,SDN,1968,10918005
Sudan,SDN,1969,11298939
Sudan,SDN,1970,11695767
Sudan,SDN,1971,12105540
Sudan,SDN,1972,12527860
Sudan,SDN,1973,13049324
Sudan,SDN,1974,13580729
Sudan,SDN,1975,14064803
Sudan,SDN,1976,14569725
Sudan,SDN,1977,15086623
Sudan,SDN,1978,15695004
Sudan,SDN,1979,16355353
Sudan,SDN,1980,17058908
Sudan,SDN,1981,17780575
Sudan,SDN,1982,18486645
Sudan,SDN,1983,19109775
Sudan,SDN,1984,19546532
Sudan,SDN,1985,19905872
Sudan,SDN,1986,20288246
Sudan,SDN,1987,20704904
Sudan,SDN,1988,21138434
Sudan,SDN,1989,21578025
Sudan,SDN,1990,22021483
Sudan,SDN,1991,22470678
Sudan,SDN,1992,22927356
Sudan,SDN,1993,23445599
Sudan,SDN,1994,24043951
Sudan,SDN,1995,24672143
Sudan,SDN,1996,25231533
Sudan,SDN,1997,25799826
Sudan,SDN,1998,26458999
Sudan,SDN,1999,27130619
Sudan,SDN,2000,27816747
Sudan,SDN,2001,28516774
Sudan,SDN,2002,29228727
Sudan,SDN,2003,29896038
Sudan,SDN,2004,30556639
Sudan,SDN,2005,31262447
Sudan,SDN,2006,31992438
Sudan,SDN,2007,32764139
Sudan,SDN,2008,33623981
Sudan,SDN,2009,34569115
Sudan,SDN,2010,35414403
Sudan,SDN,2011,36140807
Sudan,SDN,2012,36923176
Sudan,SDN,2013,37785854
Sudan,SDN,2014,38823324
Sudan,SDN,2015,40024436
Sudan,SDN,2016,41259893
Sudan,SDN,2017,42714312
Sudan,SDN,2018,44230598
Sudan,SDN,2019,45548178
Sudan,SDN,2020,46789237
Sudan,SDN,2021,48066927
Sudan,SDN,2022,49383343
Sudan,SDN,2023,50042799
